mode: atomic
luckgo/model/config.go:60.32,64.2 3 1
luckgo/model/utils.go:58.14,60.3 1 0
luckgo/model/utils.go:64.76,66.19 2 0
luckgo/model/utils.go:71.2,71.82 1 0
luckgo/model/utils.go:66.19,68.3 1 0
luckgo/model/utils.go:68.8,70.3 1 0
luckgo/model/utils.go:74.57,76.19 2 1
luckgo/model/utils.go:81.2,81.84 1 1
luckgo/model/utils.go:76.19,78.3 1 0
luckgo/model/utils.go:78.8,80.3 1 1
luckgo/model/utils.go:85.24,87.2 1 0
luckgo/model/utils.go:89.52,91.17 2 1
luckgo/model/utils.go:95.2,95.14 1 1
luckgo/model/utils.go:91.17,93.3 1 0
luckgo/model/utils.go:98.92,100.26 1 2
luckgo/model/utils.go:108.2,109.49 2 2
luckgo/model/utils.go:113.2,115.45 2 2
luckgo/model/utils.go:122.2,122.21 1 2
luckgo/model/utils.go:131.2,131.37 1 2
luckgo/model/utils.go:146.2,146.11 1 1
luckgo/model/utils.go:100.26,101.42 1 0
luckgo/model/utils.go:105.3,105.12 1 0
luckgo/model/utils.go:101.42,103.4 1 0
luckgo/model/utils.go:109.49,111.3 1 8
luckgo/model/utils.go:115.45,116.56 1 2
luckgo/model/utils.go:116.56,117.48 1 2
luckgo/model/utils.go:117.48,119.5 1 2
luckgo/model/utils.go:122.21,123.50 1 2
luckgo/model/utils.go:123.50,128.4 1 8
luckgo/model/utils.go:131.37,133.17 2 10
luckgo/model/utils.go:133.17,134.12 1 0
luckgo/model/utils.go:135.9,135.57 1 10
luckgo/model/utils.go:135.57,136.21 1 9
luckgo/model/utils.go:136.21,137.25 1 9
luckgo/model/utils.go:137.25,139.6 1 1
luckgo/model/utils.go:140.10,142.5 1 0
luckgo/model/utils.go:149.53,150.24 1 1
luckgo/model/utils.go:154.2,154.50 1 1
luckgo/model/utils.go:150.24,152.3 1 0
luckgo/model/utils.go:157.41,158.80 1 0
luckgo/model/utils.go:161.2,161.17 1 0
luckgo/model/utils.go:165.2,165.20 1 0
luckgo/model/utils.go:158.80,160.3 1 0
luckgo/model/utils.go:161.17,163.3 1 0
luckgo/model/utils.go:168.35,169.79 1 2
luckgo/model/utils.go:169.79,171.3 1 9
luckgo/model/utils.go:174.42,176.53 2 1
luckgo/model/utils.go:179.2,179.13 1 1
luckgo/model/utils.go:176.53,178.3 1 1
luckgo/model/utils.go:182.49,183.29 1 1
luckgo/model/utils.go:183.29,185.3 1 0
luckgo/model/utils.go:185.8,189.17 3 1
luckgo/model/utils.go:192.3,192.29 1 1
luckgo/model/utils.go:189.17,191.4 1 0
